Tempo of Song,Tempo of First 30 Seconds,Tempo of Last 30 Seconds,Length of Song,Pitch of First 30 Seconds,Pitch of Last 30 Seconds,Average Pitch of Song,Starting Heart Rate,Ending Heart Rate
78.30255682,78.30255682,78.30255682,148.3522902,11.860669,11.860669,11.860669,83,88
129.1992188,129.1992188,129.1992188,193.6196372,64.03441,64.03441,64.03441,83,83
112.3471467,112.3471467,112.3471467,223.3527438,22.573969,22.573969,22.573969,86,79
117.4538352,117.4538352,117.4538352,234.0455782,18.650333,18.650333,18.650333,81,82
151.9990809,151.9990809,151.9990809,251.0309297,15.755954,15.755954,15.755954,83,81
143.5546875,143.5546875,143.5546875,148.7702948,17.42903,17.42903,17.42903,77,81
86.1328125,86.1328125,86.1328125,270.2803175,51.61335,51.61335,51.61335,76,82
99.38401442,99.38401442,99.38401442,241.4179138,11.640877,11.640877,11.640877,93,82
129.1992188,129.1992188,129.1992188,252.1687075,21.896006,21.896006,21.896006,76,86
151.9990809,151.9990809,151.9990809,256.4180045,32.303936,32.303936,32.303936,77,87
135.9991776,135.9991776,92.28515625,241.2785941,6.5139384,6.5139384,6.5139384,81,79
92.28515625,46.98153409,92.28515625,284.4676644,12.98046,12.98046,12.98046,80,67
143.5546875,143.5546875,92.28515625,215.2722449,40.6203,40.6203,40.6203,76,82
117.4538352,123.046875,80.74951172,252.5054422,25.417923,25.417923,25.417923,78,80
135.9991776,107.6660156,135.9991776,231.5494331,23.518171,23.518171,23.518171,77,75
86.1328125,151.9990809,86.1328125,298.5506122,46.88228,46.88228,46.88228,75,90
129.1992188,129.1992188,123.046875,237.6794558,24.2121,24.2121,24.2121,77,81
123.046875,129.1992188,123.046875,246.0502948,5.619968,5.619968,5.619968,85,71
129.1992188,198.7680288,129.1992188,164.8152381,39.098988,39.098988,39.098988,73,69
151.9990809,151.9990809,92.28515625,350.8535147,18.835518,18.835518,18.835518,74,73
143.5546875,143.5546875,215.3320313,274.12322,23.762238,23.762238,23.762238,75,80
129.1992188,66.25600962,123.046875,176.8896145,6.524766,6.524766,6.524766,78,76
117.4538352,95.703125,112.3471467,246.2824943,10.833418,10.833418,10.833418,85,96
151.9990809,151.9990809,143.5546875,274.8081633,14.91772,14.91772,14.91772,78,69
